id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao,latitude,longitude
2a84434b,A7197D,237,33000,424,3551,B738,N557AS,1642366219,SEA,LIH,AS875,AS,0,0,ASA875,ASA,43.36,-131.53
2a842557,C07B42,233,40000,458,2000,B789,C-GURP,1642366219,YYC,OGG,WS1858,WS,0,0,WJA1858,WJA,42.67,-130.59
2a842614,A95C38,331,36000,486,7206,B744,N702CK,1642366226,LAX,ICN,K4237,K4,0,0,CKS237,CKS,48.47,-130.4
2a844c45,A4B420,231,32000,434,2000,B739,N402AS,1642366219,SEA,KOA,AS843,AS,0,0,ASA843,ASA,43.54,-130.19
2a83648a,71C361,93,41000,478,0,A359,HL8361,1642366223,ICN,SFO,OZ212,OZ,0,0,AAR212,AAR,40.0,-130.09
